algorithm,size,seconds,speedup
bitonic_sort,1048576,0.00052,11.012
thrust_sort,1048576,0.00027,21.090
radix_sort_tbb,1048576,0.00144,3.841
gpu_radix_sort_opt_2,1048576,0.01226,0.452
bitonic_sort,1048576,0.00053,10.449
thrust_sort,1048576,0.00027,20.888
radix_sort_tbb,1048576,0.00190,2.963
gpu_radix_sort_opt_2,1048576,0.01228,0.458
bitonic_sort,1048576,0.00052,10.899
thrust_sort,1048576,0.00029,19.469
radix_sort_tbb,1048576,0.00137,4.181
gpu_radix_sort_opt_2,1048576,0.01226,0.467
bitonic_sort,1048576,0.00051,11.131
thrust_sort,1048576,0.00026,21.876
radix_sort_tbb,1048576,0.00142,3.872
gpu_radix_sort_opt_2,1048576,0.01227,0.446
bitonic_sort,1048576,0.00052,10.600
thrust_sort,1048576,0.00027,20.001
radix_sort_tbb,1048576,0.00136,4.009
gpu_radix_sort_opt_2,1048576,0.01226,0.445
bitonic_sort,1048576,0.00052,10.556
thrust_sort,1048576,0.00028,19.773
radix_sort_tbb,1048576,0.00143,3.931
gpu_radix_sort_opt_2,1048576,0.01230,0.455
bitonic_sort,1048576,0.00052,10.858
thrust_sort,1048576,0.00026,21.379
radix_sort_tbb,1048576,0.00134,4.328
gpu_radix_sort_opt_2,1048576,0.01227,0.474
bitonic_sort,1048576,0.00052,11.243
thrust_sort,1048576,0.00026,22.098
radix_sort_tbb,1048576,0.00139,3.778
gpu_radix_sort_opt_2,1048576,0.01226,0.428
bitonic_sort,1048576,0.00052,10.156
thrust_sort,1048576,0.00026,20.510
radix_sort_tbb,1048576,0.00135,3.960
gpu_radix_sort_opt_2,1048576,0.01226,0.437
bitonic_sort,1048576,0.00052,10.369
thrust_sort,1048576,0.00026,20.316
radix_sort_tbb,1048576,0.00147,3.596
gpu_radix_sort_opt_2,1048576,0.01226,0.432
bitonic_sort,1048576,0.00052,10.259
thrust_sort,1048576,0.00026,20.595
radix_sort_tbb,1048576,0.00144,3.768
gpu_radix_sort_opt_2,1048576,0.01226,0.442
bitonic_sort,1048576,0.00052,10.476
thrust_sort,1048576,0.00026,20.742
radix_sort_tbb,1048576,0.00142,3.842
gpu_radix_sort_opt_2,1048576,0.01228,0.444
bitonic_sort,1048576,0.00052,10.512
thrust_sort,1048576,0.00027,20.360
radix_sort_tbb,1048576,0.00143,3.934
gpu_radix_sort_opt_2,1048576,0.01227,0.457
bitonic_sort,1048576,0.00052,10.873
thrust_sort,1048576,0.00027,20.860
radix_sort_tbb,1048576,0.00152,3.569
gpu_radix_sort_opt_2,1048576,0.01225,0.442
bitonic_sort,1048576,0.00051,10.520
thrust_sort,1048576,0.00026,20.982
radix_sort_tbb,1048576,0.00140,4.006
gpu_radix_sort_opt_2,1048576,0.01227,0.458
bitonic_sort,1048576,0.00052,10.852
thrust_sort,1048576,0.00026,21.917
radix_sort_tbb,1048576,0.00136,4.193
gpu_radix_sort_opt_2,1048576,0.01227,0.466
bitonic_sort,1048576,0.00052,11.053
thrust_sort,1048576,0.00026,22.055
radix_sort_tbb,1048576,0.00137,4.141
gpu_radix_sort_opt_2,1048576,0.01227,0.462
bitonic_sort,1048576,0.00052,10.968
thrust_sort,1048576,0.00028,20.393
radix_sort_tbb,1048576,0.00147,3.807
gpu_radix_sort_opt_2,1048576,0.01225,0.455
bitonic_sort,1048576,0.00052,10.787
thrust_sort,1048576,0.00026,21.135
radix_sort_tbb,1048576,0.00146,3.825
gpu_radix_sort_opt_2,1048576,0.01225,0.454
bitonic_sort,1048576,0.00052,10.761
thrust_sort,1048576,0.00027,20.547
radix_sort_tbb,1048576,0.00144,3.875
gpu_radix_sort_opt_2,1048576,0.01226,0.456
bitonic_sort,1048576,0.00052,10.837
thrust_sort,1048576,0.00026,21.754
radix_sort_tbb,1048576,0.00135,4.112
gpu_radix_sort_opt_2,1048576,0.01225,0.454
